comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_676,Sergio Infante,:cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom:,,,,,,,
ct_677,jacinte munoz,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,,,,,,,
ct_679,f c,she has Alien eyes,,,,,,,
ct_681,f c,is she my aNGEL,,,,,,,
ct_682,filtav,cherrie and cheers all,,,,,,,
ct_683,Marie Pennamen,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,,,,,,,
ct_684,TouchPerInch,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,,,,,,,
ct_685,MrTRIFORCE666,:speaker_high_volume::speaker_medium_volume::speaker_high_volume:,,,,,,,
ct_686,filtav,:eyes-pink-heart-shape:,,,,,,,
ct_687,f c,CANT LOOK ABOVE CAUSE IT BURNS MY EYS. BUT SHE COVERS THE SUN MY WIFE,,,,,,,
ct_688,Martin Hallak,that arturia is too loud,,,,,,,
